Date,Close/Last,Volume,Open,High,Low
08/05/2021,0.198284,N/A,0.198851,0.200355,0.197466
08/04/2021,0.198795,N/A,0.194642,0.201133,0.197858
08/03/2021,0.195305,N/A,0.199569,0.199,0.194703
08/02/2021,0.199243,N/A,0.204055,0.204225,0.199157
08/01/2021,0.203955,N/A,0.215679,0.205348,0.201638
07/31/2021,0.216496,N/A,0.208074,0.216756,0.205711
07/30/2021,0.208199,N/A,0.205418,0.213619,0.207136
07/29/2021,0.205288,N/A,0.202735,0.207676,0.201311
07/28/2021,0.203238,N/A,0.205007,0.205731,0.20164
07/27/2021,0.205048,N/A,0.198172,0.208005,0.201256
07/26/2021,0.198501,N/A,0.208501,0.204705,0.194865
07/25/2021,0.218288,N/A,0.194135,0.22117,0.196598
07/24/2021,0.189301,N/A,0.193019,0.1937,0.064615
07/23/2021,0.193131,N/A,0.191713,0.194679,0.190867
07/22/2021,0.191749,N/A,0.189713,0.193678,0.18933
07/21/2021,0.189552,N/A,0.17482,0.196036,0.186305
07/20/2021,0.175331,N/A,0.163402,0.177083,0.168116
07/19/2021,0.163625,N/A,0.176052,0.174382,0.161528
07/18/2021,0.175963,N/A,0.189864,0.181502,0.17478
07/17/2021,0.189695,N/A,0.170349,0.195538,0.184252
07/16/2021,0.170776,N/A,0.184843,0.174614,0.168685
07/15/2021,0.185914,N/A,0.196718,0.187276,0.180965
07/14/2021,0.195231,N/A,0.193455,0.200281,0.195231
07/13/2021,0.188198,N/A,0.204586,0.199536,0.187339
07/12/2021,0.205546,N/A,0.21504,0.207023,0.203091
07/11/2021,0.215623,N/A,0.212052,0.215676,0.213416
07/10/2021,0.211086,N/A,0.218617,0.214818,0.21081
07/09/2021,0.218741,N/A,0.200866,0.227071,0.217914
07/08/2021,0.205619,N/A,0.22034,0.207422,0.195927
07/07/2021,0.218479,N/A,0.23324,0.222825,0.211841
07/06/2021,0.232659,N/A,0.234483,0.234245,0.2305
07/05/2021,0.234343,N/A,0.23737,0.234698,0.230342
07/04/2021,0.2374,N/A,0.246818,0.241018,0.237009
07/03/2021,0.247013,N/A,0.241527,0.24919,0.241668
07/02/2021,0.241868,N/A,0.240388,0.245364,0.241726
07/01/2021,0.240688,N/A,0.242447,0.246266,0.239959
06/30/2021,0.242635,N/A,0.254434,0.253113,0.24245
06/29/2021,0.255271,N/A,0.252857,0.262796,0.25366
06/28/2021,0.253069,N/A,0.254851,0.257376,0.250805
06/27/2021,0.255575,N/A,0.251183,0.266409,0.254403
06/26/2021,0.250551,N/A,0.244229,0.252508,0.243383
06/25/2021,0.244596,N/A,0.284986,0.24886,0.234539
06/24/2021,0.286181,N/A,0.229312,0.288556,0.262855
06/23/2021,0.226494,N/A,0.209321,0.241617,0.222169
06/22/2021,0.208932,N/A,0.208035,0.220227,0.181047
06/21/2021,0.210758,N/A,0.26381,0.216312,0.166475
06/20/2021,0.263661,N/A,0.278594,0.280051,0.262797
06/19/2021,0.278793,N/A,0.286061,0.282216,0.275729
06/18/2021,0.284653,N/A,0.302226,0.295581,0.284423
06/17/2021,0.301838,N/A,0.310207,0.303863,0.297249
06/16/2021,0.309688,N/A,0.313694,0.310874,0.304164
06/15/2021,0.313445,N/A,0.32515,0.319177,0.311573
06/14/2021,0.325555,N/A,0.318455,0.32869,0.32181
06/13/2021,0.318321,N/A,0.306048,0.324634,0.317783
06/12/2021,0.305785,N/A,0.30434,0.31277,0.305272
06/11/2021,0.300684,N/A,0.323962,0.3168,0.299227
06/10/2021,0.323249,N/A,0.338734,0.326628,0.317874
06/09/2021,0.338959,N/A,0.317598,0.344416,0.336666
06/08/2021,0.318631,N/A,0.324291,0.327042,0.312234
06/07/2021,0.325283,N/A,0.373444,0.34016,0.31659
06/06/2021,0.373861,N/A,0.372153,0.377236,0.367353
06/05/2021,0.371602,N/A,0.385567,0.374471,0.36828
06/04/2021,0.380909,N/A,0.382843,0.389041,0.371541
06/03/2021,0.391178,N/A,0.421051,0.399588,0.368816
06/02/2021,0.421877,N/A,0.364187,0.429729,0.409172
06/01/2021,0.375108,N/A,0.329183,0.377558,0.351944
05/31/2021,0.325053,N/A,0.298395,0.342818,0.323254
05/30/2021,0.295388,N/A,0.296444,0.304437,0.294505
05/29/2021,0.295537,N/A,0.31364,0.302124,0.286698
05/28/2021,0.314107,N/A,0.337043,0.317036,0.308729
05/27/2021,0.33199,N/A,0.331845,0.336609,0.325003
05/26/2021,0.329479,N/A,0.353822,0.350525,0.32524
05/25/2021,0.353497,N/A,0.343492,0.354759,0.338344
05/24/2021,0.344145,N/A,0.305748,0.379504,0.336041
05/23/2021,0.306879,N/A,0.345248,0.31641,0.295792
05/22/2021,0.344925,N/A,0.338976,0.349669,0.336355
05/21/2021,0.339434,N/A,0.398076,0.359675,0.331663
05/20/2021,0.398773,N/A,0.339523,0.411212,0.395935
05/19/2021,0.338595,N/A,0.430993,0.348367,0.297074
